Branch ID	Route Name 	Starting Point	Ending Point	Sign	Notes	Division(s)	Long Description
36_0_fj36Con	36 Finch West	Finch Ave West/Jane Street	Finch Station	36 Finch Stn	via Finch West Stn	Arrow Rd	
36_0_MPWE	36 Finch West	Milvan Drive/Penn Drive	Finch Avenue West/Weston Road	36S Weston Rd	Last trip	Arrow Rd	
36_0_HWFA	36 Finch West	Humberwood Loop	Finch Avenue West/Jane Street	36S Short Turn	Last trip Eastbound	Arrow Rd	
36_1_36A	36 Finch West	Finch West Station	Humberwood Loop	36B Humberwood	N/A	Arrow Rd	
36_1_36ACon	36 Finch West	Finch West Station	Humberwood Loop	36B Humberwood	N/A	Arrow Rd	
36_1_36B	36 Finch West	Finch Station	Finch West Station	36A Finch West Stn	N/A	Arrow Rd	
36_1_36BCon	36 Finch West	Finch Station	Finch West Station	36A Finch West Stn	N/A	Arrow Rd	
36_1_36D	36 Finch West	Finch West Station	Milvan Drive/Penn Drive	36D Weston Rd and Milvan	N/A	Arrow Rd	
36_1_36DCon	36 Finch West	Finch West Station	Milvan Drive/Penn Drive	36D Weston Rd and Milvan	N/A	Arrow Rd	
36_1_36F	36 Finch West	Finch West Station	Milvan Drive/Penn Drive	36F Weston Rd and Milvan via Fenmar	N/A	Arrow Rd	
36_1_36FCon	36 Finch West	Finch West Station	Milvan Drive/Penn Drive	36F Weston Rd and Milvan via Fenmar	N/A	Arrow Rd	
36_1_36fa	36 Finch West	Finch Station	Signet Drive/Arrow Rd	36S Arrow Rd	via Finch West Stn	Arrow Rd	
36_1_36faCon	36 Finch West	Finch Station	Signet Drive/Arrow Rd	36S Arrow Rd	via Finch West Stn	Arrow Rd	
36_1_36fac	36 Finch West	Finch Station	Signet Drive/Arrow Rd	36S Arrow Rd	bypass Finch West Stn	Arrow Rd	
36_1_36J	36 Finch West	Finch Station	Humberwood Loop	36A Humberwood	via Finch West Stn	Arrow Rd	
36_1_36JCon	36 Finch West	Finch Station	Humberwood Loop	36A Humberwood	via Finch West Stn	Arrow Rd	
36_1_36Dpv	36 Finch West	Finch Ave West/Yonge Street	Milvan Drive/Penn Drive	36D Weston Rd and Milvan	bypass Finch West Stn	Arrow Rd	
36_1_36Jpv	36 Finch West	Yonge Street	Humberwood Loop	36A Humberwood	bypass Finch West Stn	Arrow Rd	
36_1_BAFW	36 Finch West	St Basil The Great College School 	Finch Avenue West/Weston Road	36S Weston Rd	School Trip	Arrow Rd	
36_1_FAMP	36 Finch West	Finch Avenue West	Milvan Drive/Penn Road	36D Weston Rd and Milvan	N/A	Arrow Rd	
36_1_FHWH	36 Finch West	Finch Avenue West/Weston Road	Humberwood Loop	36A Humberwood	First PM Trip	Arrow Rd	
36_1_FWMP	36 Finch West	Finch Avenue West/Weston Road	Milvan Drive/Penn Road	36D Weston Rd and Milvan	First PM Trip	Arrow Rd	
36_1_FWHW	36 Finch West	Finch Avenue West/Weston Road	Humberwood Loop	36A Humberwood	N/A	Arrow Rd	
36_1_KE36B	36 Finch West	Keele Street/Finch Avenue West	Humberwood Loop	36A Humberwood	First PM Trip	Arrow Rd	
36_1_KE36BCon	36 Finch West	Keele Street/Finch Avenue West	Humberwood Loop	36A Humberwood	First PM Trip	Arrow Rd	
36_1_FWES	36 Finch West	Finch West Station	Finch Avenue West/Weston Rd	36S Weston Rd	Last AM Trip	Arrow Rd	
37_0_37A	37 Islington	Humberwood Loop	Islington Station	37 Islington Stn	N/A	Queensway	
37_0_37B	37 Islington	Islington/Steeles Loop	Islington Station	37 Islington Stn	N/A	Queensway	
37_0_IS37B	37 Islington	Islington/Steeles Loop	Islington Station	37 Islington Stn	School trip	Queensway	
37_1_37A	37 Islington	Islington Station	Humberwood Loop	37A Woodbine & Humberwood	via Rexdale Blvd	Queensway	
37_1_37B	37 Islington	Islington Station	Islington/Steeles Loop	37B Steeles 	N/A	Queensway	
37_1_37B*	37 Islington	Islington Station	Islington/Steeles Loop	37B Steeles 	Same trip as 37B	Queensway	The only thing different with this branch, is that there is a timepoint at Islington Avenue/Bloor Street West
37_1_IWST	37 Islington	Islington Avenue/The Westway	Islington/Steeles Loop	37B Steeles 	School trip	Queensway	
38_0_38A	38 Highland Creek	Rouge Hill GO Station	Scarborough Centre Station	38 Scarborough Centre 	N/A	Malvern	
38_0_38B	38 Highland Creek	U of T Scarborough	Scarborough Centre Station	38 Scarborough Centre	N/A	Malvern	
38_0_RHMK	38 Highland Creek	Rouge Hill GO Station	Markham Road/Ellesmere Road	38S Markham Rd	Last Trip	Malvern	
38_1_38A	38 Highland Creek	Scarborough Centre Station	Rouge Hill GO Station	38A Rouge Hill GO Stn	N/A	Malvern	
38_1_38B	38 Highland Creek	Scarborough Centre Station	U of T Scarborough	38B UofT Scarborough	N/A	Malvern	
39_0_39A	39 Finch East	Finch Station	Neilson Road/Crow Trail	39A Neilson 	N/A	Malvern	
39_0_39B	39 Finch East	Finch Station	Old Finch/Morningview Trail	39B Old Finch and Morningview	N/A	Malvern	
39_0_39C	39 Finch East	Finch Station	Victoria Park/Gordon Baker	39C Victoria Park and Gordon Baker	N/A	Malvern	
39_0_FSMA	39 Finch East	Finch Station	Markham Road/Finch Ave East	39S Markham Rd	Last trip	Malvern	
39_0_BDNE	39 Finch East	Finch Ave East/Baldoon Road	Neilson Road/Crow Trail 	39A Neilson	First trip	Malvern	
39_0_MCVP	39 Finch East	Victoria Park/McNicoll	480 Gordon Baker Road	39C Victoria Park and Gordon Baker	First PM Trip	Malvern	
39_0_OFSE	39 Finch East	Old Finch/Morningview	Morningview Trail/Sewells Road	39A Neilson	N/A	Malvern	
39_1_39A	39 Finch East	Neilson Road/Crow Trail 	Finch Station	39 Finch Stn	N/A	Malvern	
39_1_39B	39 Finch East	Old Finch/Morningview Trail	Finch Station	39 Finch Stn	N/A	Malvern	
39_1_39C	39 Finch East	Victoria Park/Gordon Baker	Finch Station	39 Finch Stn	N/A	Malvern	
39_1_NEBD	39 Finch East	Neilson Road/Crow Trail 	Baldoon Rd/Finch Ave East	39A Neilson 	Last trip	Malvern	
40_0_40A	40 Junction-Dundas West	Kipling Station	Dundas West Stn	40 Dundas West Stn	N/A	Queensway	
40_0_40Aa	40 Junction-Dundas West	Aukland/Dundas Street West	Dundas West Stn	40 Dundas West Stn	N/A	Queensway	
40_1_40A	40 Junction-Dundas West	Dundas West Station	Kipling Station	40A Kipling Stn	N/A	Queensway	
40_1_40Aak	40 Junction-Dundas West	Dundas West Station	Aukland/Dundas Street West	40A Kipling Stn	While the subway is closed	Queensway	
40_0_40B	40 Junction-Dundas West	St Clair Ave West/Jane Street	Dundas West Station	40 Dundas West Stn	N/A	Queensway	
40_0_40Ba	40 Junction-Dundas West	Aukland/Dundas Street West	Dundas West Station	40 Dundas West Stn	While the subway is closed	Queensway	
40_1_40B	40 Junction-Dundas West	Dundas West Station	St Clair Ave West/Jane Street	40B Jane and St Clair	N/A	Queensway	
40_1_40Ba	40 Junction-Dundas West	Dundas West Station	Aukland/Dundas Street West	40A Kipling Stn	When the subway is closed	Queensway	
41_0_41	41 Keele	Pioneer Village Station	Keele Station	41 Keele Stn	N/A	Mount Dennis	
41_0_41pv	41 Keele	Northwest Gate (Pioneer Village Stn)	Keele Station	41 Keele Stn	Does not enter Pioneer Village Stn	Mount Dennis	
41_1_41	41 Keele 	Keele Station	Pioneer Village Station	41 Pioneer Village Stn	N/A	Mount Dennis	
41_1_41pv	41 Keele	Keele Station	Northwest Gate (Pioneer Village Stn)	41A Pioneer Village Stn	Final Trip	Mount Dennis	
42_0_42A	42 Cummer	Finch Station	80 Dynamic Drive	42A Middlefield and Dynamic Dr	N/A	Wilson	
42_0_42Acon	42 Cummer 	Finch Station	80 Dynamic Drive	42A Middlefield and Dynamic Dr	N/A	Wilson	
42_0_42C	42 Cummer	Finch Station	Victoria Park/Gordon Baker	42C Victoria Park	N/A	Wilson	
42_0_MCVP	42 Cummer	McNicoll/Victoria Park	Victoria Park/Gordon Baker	42C Victoria Park	N/A	Wilson	
42_1_42A	42 Cummer	80 Dynamic Drive	Finch Station	42 Finch Stn	N/A	Wilson	
42_1_42Acon	42 Cummer	80 Dynamic Drive	Finch Station	42 Finch Stn	N/A	Wilson	
42_1_42C	42 Cummer	Victoria Park/Gordon Baker	Finch Station	42 Finch Stn	N/A	Wilson	
42_1_42Cpm	42 Cummer	Victoria Park/Gordon Baker	Finch Station	42 Finch Stn	N/A	Wilson	
42_1_42mfs	42 Cummer	Victoria Park/Gordon Baker	Finch Station	42 Finch Stn	N/A	Wilson	
42_1_VPMC	42 Cummer	Victoria Park/Gordon Baker	McNicoll/Victoria Park	42S Short Turn	N/A	Wilson	
42_1_VPTE	42 Cummer	Victoria Park/McNicoll	Finch Station	42 Finch Stn	N/A	Wilson	
43_0_43A	43 Kennedy 	Steeles/Kennedy Road	Kennedy Station	43 Kennedy Stn	N/A	Eglinton	
43_0_43ASun	43 Kennedy 	Steeles/Kennedy Road	Kennedy Station	43 Kennedy Stn	N/A	Eglinton	
43_0_43B	43 Kennedy	Scarborough Centre Station	Kennedy Station	43 Kennedy Stn	N/A	Eglinton	
43_0_mc43A	43 Kennedy	McNicoll/Kennedy Road	Kennedy Station	43 Kennedy Stn	School trip	Eglinton	TRACK
43_0_MIMC	43 Kennedy	Midland Avenue/Steeles Ave East (South Side)	McNicoll/Kennedy Road	43 Kennedy Stn	School trip	Eglinton	TRACK
43_0_MIPA	43 Kennedy	Midland Avenue/Steeles Ave East (South Side)	Kennedy Road/Passmore 	43 Kennedy Stn	Last trip	Eglinton	
43_1_PAMI	43 Kennedy	Passmore/Kennedy Road	Midland Avenue/Steeles Ave East (South Side)	43 Kennedy Stn	First trip	Eglinton	
43_1_43A	43 Kennedy	Kennedy Station	Steeles/Kennedy Road	43A Steeles	N/A	Eglinton	
43_1_43B	43 Kennedy	Kennedy Station	Scarborough Centre Station	43B Scarborough Ctr via Progress	N/A	Eglinton	
44_0_44	44 Kipling South	Kipling Station	Colonel Samuel Smith Park Loop	44 Lake Shore	N/A	Queensway	
44_0_KPEV	44 Kipling South	Kipling Station	Evans Avenue/Kipling Avenue	44S Short Turn	Final trip	Queensway	
44_0_EVCS	44 Kipling South	Evans Avenue/Kipling Avenue	Colonel Samuel Smith Park Loop	44 Lake Shore	N/A	Queensway	
44_1_44	44 Kipling South	Colonel Samuel Smith Park Loop	Kipling Station	44 Kipling Stn	N/A	Queensway	
44_1_BIKP	44 Kipling South	Colonel Samuel Smith Park Loop	Kipling Station	44 Kipling Stn	N/A	Queensway	Since students from Humber College can possibly overload buses, this branch starts at Birmingham to allow other passengers to board the bus.
44_1_EVKP	44 Kipling South	Evans Avenue/Kipling Avenue	Kipling Station	44 Kipling Stn	First trip	Queensway	
45_0_45A	45 Kipling 	Steeles/Kipling Avenue	Kipling Station	45 Kipling Stn	N/A	Queensway	
45_0_45ACon	45 Kipling	Steeles/Kipling Avenue	Kipling Station	45 Kipling Stn	N/A	Queensway	
45_0_45Aexmile	45 Kipling 	Steeles/Kipling Avenue	Kipling Station	45 Kipling Stn	N/A	Queensway	
45_0_45B	45 Kipling 	Carlingview Drive	Kipling Station	45 Kipling Stn	N/A	Queensway	
45_0_45Bcon	45 Kipling	Attwell Drive/Disco Road	Kipling Station	45 Kipling Stn	N/A	Queensway	
45_1_45A	45 Kipling 	Kipling Station	Steeles/Kipling Avenue	45A Steeles	N/A	Queensway	
45_1_45ACon	45 Kipling 	Kipling Station	Steeles/Kipling Avenue	45A Steeles	N/A	Queensway	
45_1_45B	45 Kipling 	Kipling Station	Carlingview Drive	45B Carlingview via Belfield	N/A	Queensway	
45_1_45Bcon	45 Kipling 	Kipling Station	Attwell Drive/Disco Road	45B Carlingview via Belfield 	N/A	Queensway	
46_0_46	46 Martin Grove	Steeles/Martin Grove Loop	Kipling Station	46 Kipling Stn	N/A	Arrow Rd	
46_0_46con	46 Martin Grove	Steeles/Martin Grove Loop	Kipling Station	46 Kipling Stn	N/A	Arrow Rd	
46_0_mr46	46 Martin Grove	Finch Avenue West/Martin Grove	Kipling Station	46 Kipling Stn	School Trip	Queensway	TRACK
46_0_NTKP	46 Martin Grove	Nottinghill Gate/Martin Grove	Kipling Station	46 Kipling Stn	Shown as 46E, School Trip	Arrow Rd	TRACK
46_1_46	46 Martin Grove	Kipling Station	Steeles/Martin Grove	46 Steeles 	N/A	Arrow Rd	
46_1_46con	46 Martin Grove	Kipling Station	Steeles/Martin Grove	46 Steeles 	School tripper ran by Queensway	Arrow Rd, Queensway	
46_1_NTSL	46 Martin Grove	Nottinghill Gate/Martin Grove	Steeles/Martin Grove	46 Steeles	School Trip	Arrow Rd	TRACK
47_0_47A	47 Lansdowne	Earlscourt Loop/St Clair Ave West	Queen Street West	47A Queen	bypasses Bloor Street	Mount Dennis	
47_0_47ASun	47 Lansdowne	Earlscourt Loop/St Clair Ave West	Queen Street West	47A Queen	Stopping at Bloor Street	Mount Dennis	
47_0_47B	47 Lansdowne	Yorkdale Station	Queen Street West	47B Queen via Bridgeland & Caledonia	bypassing Bloor Street	Mount Dennis	
47_0_47C	47 Lansdowne	Yorkdale Station	Queen Street West	47C Queen via Orfus and Caledonia	bypassing Bloor Street	Mount Dennis	
47_1_47A	47 Lansdowne	Queen Street West	Earlscourt Loop/St Clair Ave West	47A St Clair	bypass Bloor Street	Mount Dennis	
47_1_47ASun	47 Lansdowne	Queen Street West	Earlscourt Loop/St Clair Ave West	47A St Clair	Stopping at Bloor Street	Mount Dennis	
47_1_47B	47 Lansdowne	Queen Street West	Yorkdale Station	47B Yorkdale Stn via Caledonia and Bridgeland	bypassing Bloor Street	Mount Dennis	
47_1_47C	47 Lansdowne	Queen Street West	Yorkdale Station	47C Yorkdale Stn via Caledonia and Orfus	bypassing Bloor Street	Mount Dennis	
48_0_48	48 Rathburn	Mill Road/Rathburn Loop	Royal York Stn	48 Royal York Stn	N/A	Queensway	
48_0_48A	48 Rathburn	Renforth Drive/Eringate	Royal York Stn	48 Royal York Stn	N/A	Queensway	
48_0_48Aam	48 Rathburn	Renforth Drive/Eringate	Royal York Stn	48 Royal York Stn	N/A	Queensway	
48_0_MMRY	48 Rathburn	Silverthorn C.I	Royal York Stn	48 Royal York Stn	School Trip	Queensway	TRACK
48_1_48	48 Rathburn	Royal York Stn	Mill Road/Rathburn Loop	48 Mill Rd	N/A	Queensway	
48_1_48Aam	48 Rathburn	Royal York Stn	Renforth Drive/Eringate	48A Renforth & Eringate	N/A	Queensway	
48_1_KIML	48 Rathburn	Kipling Avenue/Rathburn Rd	Mill Road/Rathburn Loop	48 Mill Rd	First trip	Queensway	TRACK
49_0_49	49 Bloor West	Markland Drive West	Kipling Stn	49 Kipling Stn	N/A	Queensway	
49_0_MABL	49 Bloor West	Markland Drive West	Mill Road/Bloor Street West	49S Short Turn	Final trip	Queensway	
49_1_49	49 Bloor West	Kipling Stn	Markland Drive West	49 Markland Wood	N/A	Queensway	
50_0_50	50 Burnhamthrope 	Mill Road/Burnhamthrope Road	Islington Stn	50 Islington Stn	N/A	Queensway	
50_0_MMIS	50 Burnhamthrope 	Silverthrone C.I	Islington Stn	50 Islington Stn	School Trip	Queensway	TRACK
50_1_50	50 Burnhamthrope 	Islington Stn	Mill Road/Burnhamthrope Road	50 Mill Road 	N/A	Queensway	
51_0_51	51 Leslie	Freshmeadow/Don Mills (Steeles)	Eglinton Stn	51 Eglinton Stn	N/A	Wilson	
51_1_51	51 Leslie 	Eglinton Stn	Freshmeadow/Don Mills (Steeles)	51 Steeles	N/A	Wilson	
51_0_51Acon	51 Leslie	Freshmeadow/Don Mills (Steeles)	Eglinton Ave East/Leslie Street	51A Eglinton Stn	Transfer at Eglinton	Wilson	
51_1_51Acon	51 Leslie	Eglinton Ave East/Leslie Street	Freshmeadow/Don Mills (Steeles)	51A Steeles	N/A	Wilson	
51_0_51Ccon	51 Leslie	Lawrence Ave East/Don Mills	Eglinton Ave East/Leslie Street	51C Eglinton Stn	Transfer at Eglinton	Wilson	
51_1_51Ccon	51 Leslie	Eglinton Ave East/Leslie Street	Lawrence Ave East/Don Mills	51C Steeles	N/A	Wilson	
51_1_FIST	51 Leslie	Eglinton Stn	Freshmeadow/Don Mills (Steeles)	51 Steeles	School Trip	Wilson	
52_0_52A	52 Lawrence West 	Pearson Airport (Terminal 3)	Lawrence Stn	52 Lawrence Stn	via Lawrence West Stn	Wilson	
52_0_52Ayg	52 Lawrence West	Pearson Airport (Terminal 3)	Lorindale Ave (Yonge Street)	52 Lawrence Stn	Last trip // When subway is closed	Wilson	
52_0_52B	52 Lawrence West	Westwood Mall	Lawrence Station	52 Lawrence Stn	via Lawrence West Stn	Wilson	
52_0_52D	52 Lawrence West 	Victory Crescent/McNaughton	Lawrence Station	52 Lawrence Stn	via Lawrence West Stn	Wilson	
52_0_52Dyg	52 Lawrence West	Victory Crescent/McNaughton	Lorindale Ave (Yonge Street)	52 Lawrence Stn	via Lawrence West Stn	Wilson	
52_0_52F	52 Lawrence West	Royal York Road	Lawrence Station	52 Lawrence Stn	via Lawrence West Stn	Wilson	
52_0_52G	52 Lawrence West	Martin Grove Road/Tollington Road	Lawrence West Station	52G Lawrence West Stn	N/A	Wilson	
52_0_52Gcon	52 Lawrence West 	Martin Grove Road/Tollington Road	Lawrence Station	52 Lawrence Stn	bypasses Lawrence West Stn	Wilson	
52_0_ch52Gcon	52 Lawrence West 	Martin Grove Road/Tollington Road	Lawrence West Station	52G Lawrence West Stn	School Trip	Wilson	
52_0_ch52G	52 Lawrence West 	Church Street/Maple Leaf Drive	Lawrence West Station	52G Lawrence West Stn	School Trip	Wilson	
52_0_LALS	52 Lawrence West 	Lawrence West Stn (Allen Rd)	Lawrence Stn	52 Lawrence Stn	N/A	Wilson	
52_0_LALSch	52 Lawrence West 	Lawrence West Stn (Allen Rd)	Lawrence Stn	52 Lawrence Stn	School branch of 52_0_LALS	Wilson	Unknown differences
52_0_ROLW	52 Lawrence West 	Royal York/Lawrence Ave West	Lawrence Stn	52 Lawrence Stn	First trip	Wilson	
52_0_TOLS	52 Lawrence West 	Martin Grove Road/Tollington Road	Lawrence Stn	52 Lawrence Stn	via Lawrence West Stn	Wilson	
52_0_TOYG	52 Lawrence West	Martin Grove Road/Tollington Road	Lorindale Ave (Yonge Street)	52 Lawrence Stn	N/A	Wilson	
52_0_WELS	52 Lawrence West	Weston Road	Lawrence Stn	52 Lawrence Stn	via Lawrence West Stn	Wilson	
52_0_WMT3	52 Lawrence West	Westwood Mall	Pearson Airport (Terminal 3)	52 Lawrence Stn	then continues trip as 52A	Wilson	This branch is hidden. It runs from Westwood Mall to Pearson Airport Terminal 3, then becomes a 52A. It is likely to even up gaps and use resources efficiently.
52_1_52A	52 Lawrence West 	Lawrence Station	Pearson Airport (Terminal 3)	52A Pearson Airport via Dixon Rd	via Lawrence West Stn 	Wilson	
52_1_52B	52 Lawrence West 	Lawrence Station	Westwood Mall	52B Westwood via Dixon Rd	Extra Fare Required West of Airport	Wilson	
52_1_52D	52 Lawrence West 	Lawrence Station	Victory Crescent/McNaughton	52D McNaughton Rd	Extra Fare Required West of Airport	Wilson	
52_1_52F	52 Lawrence West	Lawrence Station	Royal York Road	52F Royal York	via Lawrence West Stn	Wilson	
52_1_52G	52 Lawrence West	Lawrence West Station	Martin Grove Road/Tollington Road	52G Martin Grove via The Westway	N/A	Wilson	
52_1_52Gcon	52 Lawrence West	Lawrence Station	Martin Grove Road/Tollington Road	52G Martin Grove via The Westway	bypasses Lawrence West Stn	Wilson	
52_1_ba52A	52 Lawrence West 	Bathurst Street	Pearson Airport (Terminal 3)	52A Pearson Airport via Dixon Rd	via Lawrence West Stn 	Wilson	
52_1_ba52B	52 Lawrence West 	Bathurst Street	Westwood Mall	52B Westwood	bypasses Lawrence West Stn	Wilson	
52_1_dl52A	52 Lawrence West	Dufferin Street/Lawrence Ave West	Pearson Airport (Terminal 3)	52A Pearson Airport via Dixon Rd	N/A	Wilson	
52_1_dl52B	52 Lawrence West	Dufferin Street/Lawrence Ave West	Westwood Mall	52B Westwood via Dixon Rd	Extra Fare Required West of Airport	Wilson	
52_1_MGTO	52 Lawrence West	Martin Grove/The Westway	Martin Grove Road/Tollington Road	52G Martin Grove via The Westway	N/A	Wilson	
52_1_WELS	52 Lawrence West	Lawrence Stn	Weston Road/Lawrence	52S Weston Rd	via Lawrence West Stn	Wilson	
52_1_yg52A	52 Lawrence West 	Lawrence Stn	Pearson Airport (Terminal 3)	52A Pearson Airport via Dixion Rd	via Lawrence West Stn 	Wilson	
52_1_yg52D	52 Lawrence West	Lorindale Ave (Yonge Street)	Victory Crescent/McNaughton 	52D McNaughton Rd	bypasses Lawrence West Stn	Wilson	
52_1_T1T3	52 Lawrence West	Pearson Airport (Terminal 1)	Pearson Airport (Terminal 3)	52A Pearson Airport	First AM and PM Trip	Wilson	
53_0_53A	53 Steeles East	Finch Station	Finch/Morningside	53A Staines	N/A	Malvern	
53_0_53B	53 Steeles East	Finch Station	Markham Road	53B Markham Rd	N/A	Malvern	
53_0_53Bpm	53 Steeles East	Finch Station	Markham Road	53B Markham Rd	N/A	Malvern	
53_0_53Bmk	53 Steeles East	Finch Station	Markham Road (no clockwise looping)	53B Markham Rd	N/A	Malvern	
53_0_BRMK	53 Steeles East	Brimley Road/Steeles Ave East	Markham Road	53B Markham Rd	School Trip	Malvern 	TRACK
53_1_53A	53 Steeles East	Finch/Morningside	Finch Station	53 Finch Stn	N/A	Malvern	
53_1_53B	53 Steeles East	Markham Road	Finch Station	53 Finch Stn	N/A	Malvern	
53_1_53Bpm	53 Steeles East	Markham Road	Finch Station	53 Finch Stn	N/A	Malvern	
53_1_SYON	53 Steeles East	Steeles/Yonge Loop	Finch Station	53 Finch Stn	N/A	Malvern	This is likely a branch the TTC forgot to eliminate after extending 353 from Yonge Street Loop to York University.
53_1_BSFS	53 Steeles East	Bayview/Steeles	Finch Station	53 Finch Stn	School Trip	Malvern	
54_0_54A	54 Lawrence East	Eglinton Station	Starspray Blvd (Starspray Loop)	54A Starspray Blvd	via Lawrence East Stn	Eglinton	
54_0_54Acon	54 Lawrence East	Eglinton Station	Starspray Blvd (Starspray Loop)	54A Starspray Blvd	via Don Mills and Lawrence East Stn	Eglinton	
54_0_54Arcon	54 Lawrence East	Eglinton Station	Starspray Blvd (Starspray Loop)	54A Starspray Blvd	via Don Mills, bypass Lawrence East Stn	Eglinton	
54_0_54B	54 Lawrence East	Eglinton Station	Orton Park Road/Brimorton Road	54B Orton Park	Before 3pm, clockwise looping/via Lawrence East Stn	Eglinton	
54_0_54Bcon	54 Lawrence East	Eglinton Station	Orton Park Road/Brimorton Road	54B Orton Park	Before 3pm, clockwise looping/via Lawrence East Stn	Eglinton	
54_0_54BrCon	54 Lawrence East	Eglinton Station	Orton Park Road/Brimorton Road	54B Orton Park	Before 3pm, clockwise looping/bypass Lawrence East Stn	Eglinton	
54_0_54Bpm	54 Lawrence East	Eglinton Station	Scarborough Golf Club Rd/Lawrence 	54B Orton Park	After 3pm, clockwise looping/via Lawrence East Stn	Eglinton	
54_0_54BpmCon	54 Lawrence East	Eglinton Station	Scarborough Golf Club Rd/Lawrence 	54B Orton Park	After 3pm, clockwise looping/via Lawrence East Stn	Eglinton	
54_0_54Bpmr	54 Lawrence East	Eglinton Station	Scarborough Golf Club Rd/Lawrence 	54B Orton Park	clockwise looping, bypassing Lawrence East Stn	Eglinton	
54_0_54BpmrCon	54 Lawrence East	Eglinton Station	Scarborough Golf Club Rd/Lawrence 	54B Orton Park	Clockwise looping, bypassing Lawrence East Stn	Eglinton	
54_0_54rst	54 Lawrence East	Eglinton Station	Starspray Blvd (Starspray Loop)	54A Starspray Blvd	Bypasses Lawrence East RT Stn	Eglinton	
54_0_MRST	54 Lawrence East	Morningside/Lawrence Ave East	Starspray Blvd (Starspray Loop)	54A Starspray Blvd	Bypasses Lawrence East RT Stn	Eglinton	
54_0_LSOT	54 Lawrence East	Lawrence/Scarborough Golf Club	Orton Park Road/Brimorton Road	54B Orton Park	First trip	Eglinton	
54_0_LMOT	54 Lawrence East	Lawrence Ave East/Markham Rd	Orton Park Road/Brimorton Road	54B Orton Park	First trip	Eglinton	
54_0_rt54A	54 Lawrence East	Lawrence East RT Stn	Starspray Blvd (Starspray Loop)	54A Starspray Blvd	First PM Trip	Eglinton	
54_0_la54A	54 Lawrence East	Warden Ave/Lawrence Ave East	Starspray Blvd (Starspray Loop)	54A Starspray Blvd	N/A	Eglinton	
54_0_lm54A	54 Lawrence East	Lawrence Ave East/Markham Road	Starspray Blvd (Starspray Loop)	54A Starspray Blvd	N/A	Eglinton	
54_0_54Ccon	54 Lawrence East	Eglinton/Leslie	Starspray Blvd (Starspray Loop)	54A Starspray Blvd	via Lawrence East Stn	Eglinton	
54_0_54Dcon	54 Lawrence East	Eglinton Stn	Lawrence East RT Stn	54D Lawrence East Stn	via Don Mills	Eglinton	
54_0_54Gcon	54 Lawrence East	Eglinton/Leslie	Orton Park Road/Brimorton Road	54B Orton Park	via Lawrence East Stn	Eglinton	
54_0_54GpmCon	54 Lawrence East	Eglinton/Leslie	Scarborough Golf Club Rd/Lawrence 	54B Orton Park	via Lawrence East Stn	Eglinton	
54_1_54A	54 Lawrence East	Starspray Blvd (Starspray Loop)	Eglinton Station	54 Eglinton Stn	via Lawrence East Stn	Eglinton	
54_1_54Acon	54 Lawrence East	Starspray Blvd (Starspray Loop)	Eglinton Station	54 Eglinton Stn	via Don Mills and Lawrence East Stn	Eglinton	Due to construction at Eglinton & Leslie, buses are diverted via Don Mills to Eglinton Stn
54_1_54ArCon	54 Lawrence East	Starspray Blvd (Starspray Loop)	Eglinton Station	54 Eglinton Stn	via Don Mills, bypass Lawrence East Stn	Eglinton	Due to construction at Eglinton & Leslie, buses are diverted via Don Mills to Eglinton Stn
54_1_54B	54 Lawrence East	Orton Park Road/Brimorton Road	Eglinton Station	54 Eglinton Stn	Before 3pm, clockwise looping/via Lawrence East Stn	Eglinton	
54_1_54Bcon	54 Lawrence East	Orton Park Road/Brimorton Road	Eglinton Station	54 Eglinton Stn	Before 3pm, clockwise looping/via Lawrence East Stn	Eglinton	
54_1_54BrCon	54 Lawrence East	Orton Park Road/Brimorton Road	Eglinton Station	54 Eglinton Stn	Before 3pm, clockwise looping/bypass Lawrence East Stn	Eglinton	
54_1_54Bpm	54 Lawrence East	Scarborough Golf Club Rd/Lawrence 	Eglinton Station	54 Eglinton Stn	After 3pm, clockwise looping/via Lawrence East Stn	Eglinton	
54_1_54BpmCon	54 Lawrence East	Scarborough Golf Club Rd/Lawrence 	Eglinton Station	54B Eglinton Stn	After 3pm, clockwise looping/via Lawrence East Stn	Eglinton	
54_1_54Bpmr	54 Lawrence East	Scarborough Golf Club Rd/Lawrence 	Eglinton Station	54 Eglinton Stn	bypasses Lawrence East RT Stn	Eglinton	
54_1_54Br	54 Lawrence East	Orton Park Road/Brimorton Road	Eglinton Station	54 Eglinton Stn	bypasses Lawrence East RT Stn	Eglinton	
54_1_la54	54 Lawrence East	Warden Ave/Lawrence Ave East	Eglinton Station	54 Eglinton Stn	bypasses Lawrence East RT Stn	Eglinton	
54_1_lmr54	54 Lawrence East	Morningside/Lawrence Ave East	Eglinton Station	54 Eglinton Stn	bypasses Lawrence East RT Stn	Eglinton	
54_1_mor54	54 Lawrence East	Lawrence Ave East/Markham Rd	Eglinton Station	54 Eglinton Stn	bypasses Lawrence East RT Stn	Eglinton	
54_1_54Ccon	54 Lawrence East	Starspray Blvd (Starspray Loop)	Eglinton/Leslie	54C Eglinton and Leslie	Transfer at Leslie	Eglinton	
54_1_54Dcon	54 Lawrence East	Lawrence East RT Stn	Eglinton Station	54D Eglinton Stn	via Don Mills	Eglinton	
